SpiderID,Site,Age,iterations,treatment,bin,playback,concatenated,maturation_date,start_date,trial_age,mass_mg,ceph_width_mm,attachments,line_mg,line_wet_mg,line_dry_mg,wet_mg,dry_mg,moisture_per
ap038,Isolated,59,12,Loud,3,3,ap038_3_Loud_p3,6/28/23,10/23/23,117,132.8,3.415,,12.221,13.06,12.743,0.839,0.522,37.78307509
ap042,Isolated,61,11,Quiet,6,5,ap042_6_Quiet_p5,7/9/23,10/19/23,102,155.8,3.349,,12.221,13.389,13.035,1.168,0.814,30.30821918
ap043,Isolated,59,12,Loud,5,4,ap043_5_Loud_p4,7/9/23,10/23/23,106,111,3.537,,11.944,12.096,12.033,0.152,0.089,41.44736842
ap047,Isolated,59,12,Quiet,6,1,ap047_6_Quiet_p1,7/9/23,10/23/23,106,102.7,3.147,,12.287,12.712,12.572,0.425,0.285,32.94117647
ap051,Isolated,61,11,Quiet,2,2,ap051_2_Quiet_p2,7/9/23,10/19/23,102,108.3,3.652,,11.856,12.062,11.99,0.206,0.134,34.95145631
ap052,Isolated,59,12,Quiet,4,7,ap052_4_Quiet_p7,7/9/23,10/23/23,106,98.2,3.391,,12.339,12.728,12.588,0.389,0.249,35.98971722
ap053,Isolated,58,13,Quiet,4,6,ap053_4_Quiet_p6,7/9/23,10/27/23,110,114,3.383,,11.902,12.036,12.032,0.134,0.13,2.985074627
ap055,Isolated,52,13,Loud,1,10,ap055_1_Loud_p10,7/9/23,10/27/23,110,79.2,3.255,,11.974,12.091,12.069,0.117,0.095,18.8034188
ap057,Isolated,67,11,Quiet,4,10,ap057_4_Quiet_p10,7/9/23,10/19/23,102,58.8,2.623,,12.338,12.454,12.378,0.116,0.04,65.51724138
ap058,Isolated,59,13,Loud,6,6,ap058_6_Loud_p6,7/9/23,10/27/23,110,97.3,3.182,,11.942,12.098,12.073,0.156,0.131,16.02564103
ap059,Isolated,56,13,Quiet,3,9,ap059_3_Quiet_p9,7/9/23,10/27/23,110,98.2,3.33,,11.619,11.742,11.733,0.123,0.114,7.317073171
