Site,frequency,Leq
Urban,0,-54.83
Urban,10,-48.91
Urban,20,-49.1
Urban,30,-49.38
Urban,40,-49.76
Urban,50,-50.22
Urban,60,-50.76
Urban,70,-51.38
Urban,80,-52.08
Urban,90,-52.83
Urban,100,-53.64
Urban,110,-54.5
Urban,120,-55.39
Urban,130,-56.3
Urban,140,-57.24
Urban,150,-58.19
Urban,160,-59.16
Urban,170,-60.15
Urban,180,-61.17
Urban,190,-62.23
Urban,200,-63.34
Urban,210,-64.5
Urban,220,-65.73
Urban,230,-67.03
Urban,240,-68.38
Urban,250,-69.79
Urban,260,-71.24
Urban,270,-72.7
Urban,280,-74.14
Urban,290,-75.51
Urban,300,-76.77
Urban,310,-77.89
Urban,320,-78.87
Urban,330,-79.73
Urban,340,-80.49
Urban,350,-81.2
Urban,360,-81.87
Urban,370,-82.53
Urban,380,-83.19
Urban,390,-83.86
Urban,400,-84.53
Urban,410,-85.2
Urban,420,-85.87
Urban,430,-86.52
Urban,440,-87.15
Urban,450,-87.75
Urban,460,-88.31
Urban,470,-88.82
Urban,480,-89.28
Urban,490,-89.68
Urban,500,-90.04
Urban,510,-90.36
Urban,520,-90.64
Urban,530,-90.88
Urban,540,-91.11
Urban,550,-91.31
Urban,560,-91.49
Urban,570,-91.66
Urban,580,-91.81
Urban,590,-91.95
Urban,600,-92.08
Urban,610,-92.2
Urban,620,-92.3
Urban,630,-92.4
Urban,640,-92.48
Urban,650,-92.55
Urban,660,-92.61
Urban,670,-92.66
Urban,680,-92.7
Urban,690,-92.73
Urban,700,-92.75
Urban,710,-92.76
Urban,720,-92.77
Urban,730,-92.77
Urban,740,-92.76
Urban,750,-92.75
Urban,760,-92.75
Urban,770,-92.74
Urban,780,-92.73
Urban,790,-92.73
Urban,800,-92.73
Urban,810,-92.73
Urban,820,-92.74
Urban,830,-92.75
Urban,840,-92.76
Urban,850,-92.77
Urban,860,-92.79
Urban,870,-92.81
Urban,880,-92.84
Urban,890,-92.87
Urban,900,-92.91
Urban,910,-92.95
Urban,920,-92.99
Urban,930,-93.04
Urban,940,-93.09
Urban,950,-93.15
Urban,960,-93.2
Urban,970,-93.25
Urban,980,-93.3
Urban,990,-93.34
Urban,1000,-93.37
Urban,1010,-93.4
Urban,1020,-93.42
Urban,1030,-93.43
Urban,1040,-93.44
Urban,1050,-93.44
Urban,1060,-93.43
Urban,1070,-93.42
Urban,1080,-93.42
Urban,1090,-93.41
Urban,1100,-93.4
Urban,1110,-93.4
Urban,1120,-93.4
Urban,1130,-93.41
Urban,1140,-93.42
Urban,1150,-93.44
Urban,1160,-93.47
Urban,1170,-93.49
Urban,1180,-93.53
Urban,1190,-93.56
Urban,1200,-93.6
Urban,1210,-93.64
Urban,1220,-93.68
Urban,1230,-93.71
Urban,1240,-93.74
Urban,1250,-93.77
Urban,1260,-93.79
Urban,1270,-93.81
Urban,1280,-93.82
Urban,1290,-93.82
Urban,1300,-93.82
Urban,1310,-93.81
Urban,1320,-93.8
Urban,1330,-93.8
Urban,1340,-93.79
Urban,1350,-93.78
Urban,1360,-93.78
Urban,1370,-93.78
Urban,1380,-93.79
Urban,1390,-93.8
Urban,1400,-93.81
Urban,1410,-93.83
Urban,1420,-93.86
Urban,1430,-93.88
Urban,1440,-93.9
Urban,1450,-93.92
Urban,1460,-93.93
Urban,1470,-93.94
Urban,1480,-93.94
Urban,1490,-93.92
Urban,1500,-93.9
Urban,1510,-93.87
Urban,1520,-93.83
Urban,1530,-93.78
Urban,1540,-93.73
Urban,1550,-93.68
Urban,1560,-93.63
Urban,1570,-93.58
Urban,1580,-93.53
Urban,1590,-93.49
Urban,1600,-93.46
Urban,1610,-93.43
Urban,1620,-93.42
Urban,1630,-93.42
Urban,1640,-93.43
Urban,1650,-93.44
Urban,1660,-93.47
Urban,1670,-93.5
Urban,1680,-93.54
Urban,1690,-93.58
Urban,1700,-93.62
Urban,1710,-93.66
Urban,1720,-93.7
Urban,1730,-93.73
Urban,1740,-93.75
Urban,1750,-93.77
Urban,1760,-93.79
Urban,1770,-93.8
Urban,1780,-93.82
Urban,1790,-93.83
Urban,1800,-93.85
Urban,1810,-93.87
Urban,1820,-93.9
Urban,1830,-93.93
Urban,1840,-93.97
Urban,1850,-94.01
Urban,1860,-94.05
Urban,1870,-94.09
Urban,1880,-94.14
Urban,1890,-94.18
Urban,1900,-94.22
Urban,1910,-94.26
Urban,1920,-94.3
Urban,1930,-94.33
Urban,1940,-94.35
Urban,1950,-94.37
Urban,1960,-94.38
Urban,1970,-94.38
Urban,1980,-94.37
Urban,1990,-94.35
Rural,0,-66.47
Rural,10,-60.58
Rural,20,-60.79
Rural,30,-61.12
Rural,40,-61.55
Rural,50,-62.1
Rural,60,-62.75
Rural,70,-63.51
Rural,80,-64.38
Rural,90,-65.35
Rural,100,-66.43
Rural,110,-67.61
Rural,120,-68.89
Rural,130,-70.27
Rural,140,-71.72
Rural,150,-73.26
Rural,160,-74.85
Rural,170,-76.49
Rural,180,-78.14
Rural,190,-79.78
Rural,200,-81.35
Rural,210,-82.83
Rural,220,-84.16
Rural,230,-85.32
Rural,240,-86.3
Rural,250,-87.09
Rural,260,-87.73
Rural,270,-88.25
Rural,280,-88.67
Rural,290,-89.03
Rural,300,-89.34
Rural,310,-89.6
Rural,320,-89.84
Rural,330,-90.05
Rural,340,-90.24
Rural,350,-90.4
Rural,360,-90.55
Rural,370,-90.68
Rural,380,-90.8
Rural,390,-90.9
Rural,400,-91
Rural,410,-91.1
Rural,420,-91.2
Rural,430,-91.29
Rural,440,-91.38
Rural,450,-91.48
Rural,460,-91.57
Rural,470,-91.66
Rural,480,-91.75
Rural,490,-91.84
Rural,500,-91.92
Rural,510,-92
Rural,520,-92.08
Rural,530,-92.15
Rural,540,-92.21
Rural,550,-92.27
Rural,560,-92.33
Rural,570,-92.38
Rural,580,-92.44
Rural,590,-92.49
Rural,600,-92.54
Rural,610,-92.59
Rural,620,-92.63
Rural,630,-92.68
Rural,640,-92.72
Rural,650,-92.76
Rural,660,-92.8
Rural,670,-92.84
Rural,680,-92.87
Rural,690,-92.9
Rural,700,-92.92
Rural,710,-92.94
Rural,720,-92.96
Rural,730,-92.97
Rural,740,-92.97
Rural,750,-92.97
Rural,760,-92.97
Rural,770,-92.97
Rural,780,-92.96
Rural,790,-92.96
Rural,800,-92.95
Rural,810,-92.94
Rural,820,-92.94
Rural,830,-92.94
Rural,840,-92.94
Rural,850,-92.94
Rural,860,-92.95
Rural,870,-92.96
Rural,880,-92.98
Rural,890,-93
Rural,900,-93.02
Rural,910,-93.05
Rural,920,-93.08
Rural,930,-93.12
Rural,940,-93.16
Rural,950,-93.19
Rural,960,-93.23
Rural,970,-93.26
Rural,980,-93.3
Rural,990,-93.33
Rural,1000,-93.35
