SpiderID,Location,Site,Freq_Date,Year,Experiment,Final_Molt,Exp_Date,Exp_Age,Freq_Age,Rest_Days,treatment,Playback,hz100,hz200,hz300,hz400,hz500,hz600,hz700,hz800,hz900,hz1000,Reactions,order1,order2,order3,order4,order5,order6,order7,order8,order9,order10
AP003,Campus,Urban,11/14/22,2022,Choice,8/17/22,9/6/22,20,89,69,,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
AP007,Campus,Urban,11/12/22,2022,Choice,8/22/22,9/6/22,15,82,67,,6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
AP010,Campus,Urban,11/3/22,2022,Choice,8/25/22,9/26/22,32,70,38,,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
AP011,Campus,Urban,11/3/22,2022,Choice,8/17/22,9/13/22,27,78,51,,3,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
AP013,Campus,Urban,11/3/22,2022,Choice,8/22/22,9/19/22,28,73,45,,1,1,1,0,1,1,0,0,0,0,0,4,0,0,0,0,0,1,0,1,1,1
AP016,Campus,Urban,11/7/22,2022,Choice,9/13/22,9/19/22,6,55,49,,4,0,1,0,0,1,0,0,1,0,0,3,0,0,0,1,1,1,0,0,0,0
AP018,Campus,Urban,11/7/22,2022,Choice,9/6/22,9/13/22,7,62,55,,6,0,0,0,1,1,1,1,1,0,0,5,1,0,0,0,1,1,1,1,0,0
AP027,Campus,Urban,11/8/22,2022,Choice,9/6/22,9/19/22,13,63,50,,9,0,0,0,0,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
AP028,Campus,Urban,11/8/22,2022,Choice,9/2/22,9/26/22,24,67,43,,4,1,0,0,0,0,0,0,1,1,0,3,0,1,1,1,0,0,0,0,0,0
AP029,Campus,Urban,11/9/22,2022,Choice,8/22/22,9/13/22,22,79,57,,6,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
AP030,Campus,Urban,11/9/22,2022,Choice,8/30/22,9/19/22,20,71,51,,8,0,0,1,1,0,1,0,0,0,1,4,1,1,1,1,0,0,0,0,0,0
AP032,Campus,Urban,11/9/22,2022,Choice,9/13/22,9/26/22,13,57,44,,10,1,1,0,1,1,1,1,1,0,1,8,1,1,1,1,1,1,1,1,0,0
AP033,Campus,Urban,11/10/22,2022,Choice,9/9/22,10/3/22,24,62,38,,1,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0
AP034,Campus,Urban,11/10/22,2022,Choice,9/2/22,10/3/22,31,69,38,,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
AP036,Campus,Urban,11/10/22,2022,Choice,9/2/22,9/26/22,24,69,45,,5,0,0,0,0,1,1,1,0,0,0,3,1,1,0,0,0,1,0,0,0,0
AP039,Campus,Urban,11/10/22,2022,Choice,9/13/22,9/26/22,13,58,45,,6,0,1,1,1,1,0,0,0,0,0,4,1,1,0,1,1,0,0,0,0,0
AP052,Campus,Urban,11/12/22,2022,Choice,8/17/22,9/26/22,40,87,47,,1,1,1,1,1,1,1,1,1,1,0,9,1,1,1,1,1,1,0,1,1,1
AP056,Campus,Urban,11/12/22,2022,Choice,8/30/22,9/6/22,7,74,67,,7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
AP062,Campus,Urban,11/13/22,2022,Choice,9/6/22,9/19/22,13,68,55,,8,0,0,1,0,1,0,1,1,0,0,4,1,0,0,0,0,0,0,1,1,1
AP087,Pope,Rural,11/3/22,2022,Choice,8/30/22,9/6/22,7,65,58,,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
AP088,Pope,Rural,11/3/22,2022,Choice,8/25/22,9/26/22,32,70,38,,1,0,0,0,0,0,0,1,1,1,0,3,1,1,1,0,0,0,0,0,0,0
AP102,Pope,Rural,11/8/22,2022,Choice,9/6/22,9/19/22,13,63,50,,10,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
AP107,Pope,Rural,11/9/22,2022,Choice,9/2/22,9/26/22,24,68,44,,6,1,1,1,0,1,0,0,0,0,0,4,1,1,1,1,0,0,0,0,0,0
AP115,Pope,Rural,11/9/22,2022,Choice,8/22/22,9/6/22,15,79,64,,10,0,1,0,1,1,0,1,0,1,0,5,1,1,0,1,1,0,0,0,1,0
AP124,Pope,Rural,11/11/22,2022,Choice,8/30/22,9/13/22,14,73,59,,10,0,0,0,1,0,0,1,0,1,0,3,1,1,0,0,0,0,0,0,1,0
AP127,Pope,Rural,11/12/22,2022,Choice,9/2/22,9/26/22,24,71,47,,2,0,0,0,0,1,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0
AP128,Pope,Rural,11/12/22,2022,Choice,8/22/22,9/13/22,22,82,60,,6,0,0,1,0,1,0,0,1,0,0,3,1,0,0,1,0,0,0,1,0,0
AP138,Herman,Rural,11/12/22,2022,Choice,9/13/22,9/13/22,0,60,60,,4,1,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0,0
AP141,Herman,Rural,11/3/22,2022,Choice,8/22/22,9/19/22,28,73,45,,1,0,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0
AP144,Herman,Rural,11/12/22,2022,Choice,8/30/22,9/13/22,14,74,60,,3,1,1,0,1,1,0,0,1,0,1,6,1,1,1,1,1,0,0,0,1,0
AP147,Herman,Rural,11/3/22,2022,Choice,9/2/22,9/13/22,11,62,51,,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
AP148,Herman,Rural,11/3/22,2022,Choice,9/6/22,10/3/22,27,58,31,,3,0,1,0,0,1,1,0,0,0,0,3,1,1,0,0,0,1,0,0,0,0
AP149,Herman,Rural,11/7/22,2022,Choice,9/6/22,9/26/22,20,62,42,,4,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0
AP150,Herman,Rural,11/7/22,2022,Choice,9/9/22,10/3/22,24,59,35,,6,0,0,1,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0
AP153,Herman,Rural,11/7/22,2022,Choice,8/25/22,9/6/22,12,74,62,,7,0,0,0,1,0,1,0,0,0,1,3,0,1,1,1,0,0,0,0,0,0
AP160,Herman,Rural,11/7/22,2022,Choice,8/22/22,9/6/22,15,77,62,,8,0,0,1,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0
AP166,Herman,Rural,11/8/22,2022,Choice,8/25/22,9/6/22,12,75,63,,9,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0
AP170,Herman,Rural,11/8/22,2022,Choice,8/25/22,9/26/22,32,75,43,,5,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
AP172,Herman,Rural,11/9/22,2022,Choice,9/2/22,9/6/22,4,68,64,,7,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
AP175,Herman,Rural,11/9/22,2022,Choice,8/22/22,10/3/22,42,79,37,,9,0,0,0,1,1,1,1,1,0,1,6,1,1,1,1,1,0,0,0,0,1
AP176,Herman,Rural,11/10/22,2022,Choice,9/6/22,9/26/22,20,65,45,,1,0,0,0,0,1,0,1,1,1,1,5,1,1,1,0,0,0,1,1,0,0
AP177,Herman,Rural,11/10/22,2022,Choice,9/2/22,9/26/22,24,69,45,,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
AP179,Herman,Rural,11/10/22,2022,Choice,9/6/22,10/3/22,27,65,38,,4,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
AP180,Herman,Rural,11/10/22,2022,Choice,9/2/22,10/3/22,31,69,38,,6,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0
AP184,Herman,Rural,11/10/22,2022,Choice,8/22/22,10/3/22,42,80,38,,7,0,0,0,1,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0,0
AP185,Herman,Rural,11/12/22,2022,Choice,8/22/22,9/19/22,28,82,54,,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
AP192,Corman,Urban,11/3/22,2022,Choice,8/22/22,10/3/22,42,73,31,,2,0,0,1,1,1,1,0,0,1,0,5,0,0,1,1,1,0,1,1,0,0
AP197,Corman,Urban,11/7/22,2022,Choice,9/2/22,9/13/22,11,66,55,,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
AP200,Corman,Urban,11/7/22,2022,Choice,8/30/22,10/3/22,34,69,35,,7,0,0,0,1,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0
AP211,Corman,Urban,11/7/22,2022,Choice,9/2/22,9/6/22,4,66,62,,8,0,0,1,1,0,0,1,1,1,0,5,1,0,1,0,0,0,1,0,1,1
