SpiderID,treatment,before_after,file,Date,f_100,f_200,f_300,f_400,f_500,f_600,f_700,f_800,f_900,f_1000,total
Ap057,Quiet,After,6,11/17/23,0,0,0,0,1,0,0,0,0,0,1
Ap058,Loud,After,4,11/17/23,0,0,0,0,1,0,0,1,0,0,2
Ap068,Loud,After,6,11/17/23,0,0,0,0,1,1,0,0,0,0,2
Ap072,Loud,After,8,11/17/23,0,0,0,0,0,0,0,0,1,0,1
Ap074,Loud,After,9,11/17/23,0,1,0,1,0,0,0,0,1,0,3
Ap077,Quiet,After,9,11/17/23,0,0,0,0,0,1,0,0,0,0,1
Ap078,Loud,After,10,11/17/23,0,0,0,1,0,1,1,0,0,0,3
Ap085,Quiet,After,10,11/17/23,0,0,1,0,0,0,0,0,0,0,1
Ap038,Loud,Before,3,10/22/23,0,0,0,0,1,0,0,0,0,0,1
Ap042,Quiet,Before,5,10/18/23,0,1,1,0,0,0,1,0,0,0,3
Ap043,Loud,Before,4,10/22/23,0,0,0,0,0,0,0,0,1,0,1
Ap047,Quiet,Before,1,10/22/23,0,0,0,0,0,0,0,0,1,0,1
Ap051,Quiet,Before,2,10/18/23,0,0,0,0,0,0,0,1,0,0,1
Ap052,Quiet,Before,7,10/22/23,0,0,0,1,0,0,0,0,0,1,2
Ap055,Loud,Before,10,10/26/23,0,0,0,1,0,0,0,0,0,0,1
Ap057,Quiet,Before,10,10/18/23,0,0,0,1,0,0,1,0,0,0,2
Ap058,Loud,Before,6,10/26/23,0,0,0,0,0,0,0,0,1,0,1
Ap059,Quiet,Before,9,10/26/23,0,0,0,0,1,0,0,0,0,0,1
Ap063,Quiet,Before,2,10/26/23,0,1,0,0,0,1,0,0,1,0,3
Ap068,Loud,Before,2,10/30/23,0,0,0,0,0,0,0,1,0,0,1
Ap071,Loud,Before,7,10/18/23,0,0,1,0,0,0,0,0,1,0,2
Ap073,Quiet,Before,8,10/26/23,0,1,1,1,0,0,0,0,0,0,3
Ap074,Loud,Before,9,10/18/23,0,1,1,1,1,1,1,1,1,0,8
Ap077,Quiet,Before,4,10/18/23,0,0,0,0,0,0,1,0,0,1,2
Ap078,Loud,Before,5,10/30/23,0,0,0,0,1,1,1,0,0,0,3
