spider,date_collected,time_collected,treatment1,treatment2,tub,container,date_added,temperature_F,sky,location,noise_location,last_fed,mass_g,mass_mg,sex,adult,molt1,molt2,molt3,molt4,lastmolt,released,died_yn,died,eggs_yn,eggs,eggs_2,longitude,latitude,visible,mapped,web_photo,spider_photo,vibr_sec,web_height_cm,sub_height_cm,place,collection_mass_mg,substrate,Notes,line_date1,silk_date1,line_mass1,silkline_mass1,silk_mass1,tb1date,tb_1,tb2date,tb_2,tb3date,tb_3,tb4date,tb_4,tb5date,tb_5,tb6date,tb_6,tb7date,tb_7,tb8date,tb_8,tb9date,tb_9,tb10date,tb_10,tb11date,tb_11,tb12date,tb_12,prey1date,prey_1,prey2date,prey_2,prey3date,prey_3,prey4date,prey_4,prey5date,prey_5,prey6date,prey_6,prey7date,prey_7,prey8date,prey_8,prey9date,prey_9,prey10date,prey_10,prey11date,prey_11,prey12date,prey_12,line_date_before,silk_date_before,line_mass_before,silkline_mass_before,silk_mass_before,line_date_bs,silk_date_bs,line_mass_bs,silkline_mass_bs,silk_mass_bs,line_date_as,silk_date_as,line_mass_as,silkline_mass_as,silk_mass_as,line_date_original,silk_date_original,line_mass_original,silkline_mass_original,silk_mass_original
AP001,6/23/21,13:30,loud,loud,19,6,7/25/21,89,sunny,campus,city,9/2/21,0.0867,86.7,F,FALSE,7/8/21,7/20/21,8/23/21,,8/23/21,n,n,,n,,,40.819085,-96.70522,TRUE,TRUE,TRUE,TRUE,1,2,2,outside,9,"twigs, leaf and pine litter",,9/5/21,9/8/21,15.14,17.13,1.99,9/5/21,1.69,9/8/21,1.19,9/12/21,0.63,9/15/21,0.75,9/19/21,1.46,9/22/21,13.75,9/26/21,0.38,9/29/21,0.94,10/4/21,0.44,10/6/21,0.56,10/10/21,0.43,10/13/21,0.5,9/6/21,18.63,9/9/21,0.69,9/13/21,0.66,9/16/21,30,9/20/21,2.28,9/23/21,1.78,9/27/21,3.47,9/30/21,0.68,10/3/21,11.13,10/7/21,7.12,10/11/21,11.69,10/14/21,5.56,9/5/21,9/8/21,15.14,17.13,1.99,9/24/21,9/29/21,15.183,19.465,4.2820,10/15/21,10/20/21,14.613,20.687,6.074,11/10/21,11/14/21,14.866,15.368,0.502
AP002,6/23/21,14:00,,,,,,89,sunny,campus,city,9/2/21,0.0986,98.6,F,FALSE,7/15/21,8/9/21,8/28/21,,8/28/21,y,n,,n,,,40.8197415,-96.7029043,TRUE,TRUE,TRUE,TRUE,1,11.5,20.3,outside,18.5,english ivy,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.0000,,,,,0.000,,,,,0.000
AP003,6/23/21,14:30,loud,loud,23,4,7/25/21,90,sunny,campus,city,9/2/21,0.0886,88.6,M,TRUE,7/5/21,8/12/21,8/31/21,,8/31/21,n,n,,n,,,40.819047,-96.705123,TRUE,TRUE,TRUE,TRUE,1,157.5,,inside,17,"metal, glass of window",,9/5/21,9/8/21,14.77,19.44,4.67,9/5/21,0.31,9/8/21,1.75,9/12/21,2.84,9/15/21,2.72,9/19/21,0.47,9/22/21,0.46,9/26/21,0.5,9/29/21,0.47,10/3/21,0.53,10/6/21,0.88,10/10/21,4.69,10/13/21,0.56,9/6/21,0.85,9/9/21,8.71,9/13/21,0.59,9/16/21,0.79,9/20/21,2.28,9/23/21,0.84,9/27/21,1.29,9/30/21,1.68,10/4/21,4.09,10/7/21,2.75,10/11/21,1,10/14/21,17.21,9/5/21,9/8/21,14.77,19.44,4.67,9/24/21,9/29/21,14.849,19.003,4.1540,10/15/21,10/20/21,15.271,20.718,5.447,11/10/21,11/14/21,14.642,15.468,0.826
AP004,6/24/21,08:28,quiet,loud,26,6,7/25/21,71,cloudy,campus,city,9/2/21,0.1297,129.7,F,FALSE,8/15/21,,,,8/15/21,y,n,,n,,,40.817352,-96.7012944,TRUE,TRUE,TRUE,TRUE,2,10,20,outside,52.2,wintercreeper,Stormed the night before and rained from 9 to 9:30 while collecting,9/5/21,9/8/21,14.62,22.15,7.53,9/5/21,0.66,9/8/21,1.81,9/12/21,1.06,9/15/21,0.53,9/19/21,0.63,9/22/21,1.41,9/26/21,0.63,9/29/21,0.65,10/3/21,2.13,10/6/21,0.56,10/10/21,0.72,10/13/21,9.94,9/6/21,30,9/9/21,0.62,9/13/21,1.29,9/16/21,0.87,9/20/21,12.94,9/23/21,9.43,9/27/21,0.85,9/30/21,0.72,10/4/21,0.94,10/7/21,0.81,10/11/21,7,10/14/21,1.46,9/5/21,9/8/21,14.62,22.15,7.53,9/24/21,9/29/21,15.220,22.759,7.5390,10/15/21,10/20/21,15.044,18.572,3.528,11/10/21,11/14/21,15.208,16.965,1.757
AP005,6/24/21,08:39,loud,quiet,1,1,7/25/21,71,cloudy,campus,city,9/2/21,0.0616,61.6,M,TRUE,7/20/21,8/19/21,,,8/19/21,n,y,10/18/21,n,,,40.817272,-96.701283,TRUE,TRUE,TRUE,TRUE,9,5,27,outside,22.7,wintercreeper,Stormed the night before and rained from 9 to 9:30 while collecting,9/4/21,9/7/21,14.96,21.67,6.71,9/4/21,30,9/7/21,30,9/11/21,30,9/14/21,30,9/18/21,30,9/21/21,30,9/25/21,30,9/28/21,30,10/2/21,30,10/5/21,30,10/9/21,30,10/12/21,30,9/5/21,30,9/8/21,30,9/12/21,30,9/15/21,30,9/19/21,30,9/22/21,30,9/26/21,30,9/29/21,30,10/3/21,30,10/6/21,30,10/10/21,30,10/13/21,30,9/4/21,9/7/21,14.96,21.67,6.71,9/24/21,9/28/21,15.577,16.724,1.1470,10/15/21,10/19/21,14.834,14.847,0.013,11/10/21,11/14/21,15.096,16.331,1.235
AP006,6/24/21,08:50,silent,silent,29,1,7/25/21,72,cloudy,campus,city,9/2/21,,,,FALSE,7/23/21,8/28/21,,,8/28/21,n,y,9/8/21,n,,,40.817125,-96.701284,TRUE,TRUE,TRUE,TRUE,1,12,28,outside,45,wintercreeper,Stormed the night before and rained from 9 to 9:30 while collecting,9/5/21,9/8/21,15.2,21.39,6.19,9/5/21,0.78,9/8/21,0.47,9/12/21,,9/15/21,,9/19/21,,9/22/21,,9/26/21,,9/29/21,,10/3/21,,10/6/21,,10/10/21,,10/13/21,,9/6/21,30,9/9/21,,9/13/21,,9/16/21,,9/20/21,,9/23/21,,9/27/21,,9/30/21,,10/4/21,,10/7/21,,10/11/21,,10/14/21,,9/5/21,9/8/21,15.20,21.39,6.19,9/24/21,9/29/21,14.708,15.775,1.0670,10/15/21,,,,0.000,11/10/21,11/14/21,15.147,16.130,0.983
AP007,6/24/21,08:51,loud,loud,5,8,7/25/21,72,cloudy,campus,city,9/2/21,,,M,TRUE,7/15/21,8/12/21,9/4/21,,9/4/21,n,y,10/13/21,n,,,40.817125,-96.701284,TRUE,TRUE,TRUE,TRUE,1.5,8,23,outside,30.4,wintercreeper,Stormed the night before and rained from 9 to 9:30 while collecting,9/4/21,9/7/21,15.18,19.48,4.3,9/4/21,0.93,9/7/21,0.37,9/11/21,0.59,9/14/21,1.47,9/18/21,1.19,9/21/21,0.56,9/25/21,0.87,9/28/21,0.88,10/2/21,4.75,10/5/21,8.34,10/9/21,1.5,10/12/21,30,9/5/21,0.9,9/8/21,0.88,9/12/21,0.84,9/15/21,0.9,9/19/21,0.75,9/22/21,0.75,9/26/21,5.06,9/29/21,30,10/3/21,3.81,10/6/21,1.69,10/10/21,1.56,10/13/21,,9/4/21,9/7/21,15.18,19.48,4.30,9/24/21,9/28/21,14.110,17.071,2.9610,10/15/21,10/19/21,14.813,17.747,2.934,11/10/21,11/14/21,14.820,16.512,1.692
AP008,6/24/21,09:26,quiet,quiet,4,1,7/22/21,73,cloudy,campus,city,9/2/21,0.0665,66.5,M,TRUE,6/27/21,7/6/21,8/6/21,8/28/21,8/28/21,n,y,10/16/21,n,,,40.817166,-96.700541,FALSE,TRUE,TRUE,TRUE,no reaction,93,,inside,6.5,"marble, lined and painted cement",Stormed the night before and rained from 9 to 9:30 while collecting,9/4/21,9/7/21,15.45,18.29,2.84,9/4/21,1.16,9/7/21,0.37,9/11/21,0.34,9/14/21,0.9,9/18/21,6.28,9/21/21,2.88,9/25/21,30,9/28/21,30,10/2/21,30,10/5/21,30,10/9/21,13.44,10/12/21,30,9/5/21,1.37,9/8/21,0.72,9/12/21,0.62,9/15/21,1.09,9/19/21,8.93,9/22/21,2.68,9/26/21,5.06,9/29/21,15.43,10/3/21,30,10/6/21,30,10/10/21,1.25,10/13/21,14.03,9/4/21,9/7/21,15.45,18.29,2.84,9/24/21,9/28/21,15.217,18.206,2.9890,10/15/21,10/19/21,14.919,16.908,1.989,11/10/21,11/14/21,15.627,16.048,0.421
AP009,6/24/21,09:43,loud,quiet,9,7,7/25/21,75,cloudy,campus,city,9/2/21,,,F,FALSE,8/12/21,,,,8/12/21,n,y,10/12/21,n,,,40.817125,-96.701284,TRUE,TRUE,TRUE,TRUE,23,16,28,outside,67.9,wintercreeper,Stormed the night before and rained from 9 to 9:30 while collecting,9/4/21,9/7/21,15.35,19.89,4.54,9/4/21,0.34,9/7/21,0.32,9/11/21,1.44,9/14/21,5.12,9/18/21,0.56,9/21/21,0.53,9/25/21,0.5,9/28/21,3.22,10/2/21,30,10/5/21,30,10/9/21,30,10/12/21,,9/5/21,0.85,9/8/21,0.65,9/12/21,7.87,9/15/21,0.63,9/19/21,30,9/22/21,22.28,9/26/21,0.97,9/29/21,1.12,10/3/21,3.53,10/6/21,30,10/10/21,30,10/13/21,,9/4/21,9/7/21,15.35,19.89,4.54,9/24/21,9/28/21,15.009,25.290,10.2810,10/15/21,10/19/21,15.119,19.911,4.792,11/10/21,11/14/21,15.148,15.958,0.810
AP010,6/24/21,09:54,,,,,,76,cloudy,campus,city,9/2/21,0.0516,51.6,M,TRUE,7/20/21,8/16/21,,,8/16/21,y,n,,n,,,40.817125,-96.701284,TRUE,TRUE,TRUE,TRUE,18,4,15,outside,15.4,wintercreeper,Stormed the night before and rained from 9 to 9:30 while collecting,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.0000,,,,,0.000,,,,,0.000
