Low_Freq,Power_ambient,Power_test
0,-110.74,-96.38
5.4,-92.14,-105.99
10.8,-91.34,-101.6
16.1,-83.58,-91.2
21.5,-69.69,-70.87
26.9,-50.65,-48.12
32.3,-47.83,-40.12
37.7,-55.63,-40.14
43,-65.35,-47.39
48.4,-67.44,-57.63
53.8,-47.22,-44.61
59.2,-39.25,-44.69
64.6,-43.5,-38.4
69.9,-75.17,-40.71
75.3,-63.39,-44.35
80.7,-68.9,-42.33
86.1,-73.68,-41.06
91.5,-74.24,-39.96
96.8,-76.98,-41.6
102.2,-69.54,-36.83
107.6,-67.37,-34.68
113,-62.51,-38.33
118.4,-58.14,-47.87
123.7,-63.01,-44.17
129.1,-68.5,-42.54
134.5,-64.2,-43.36
139.9,-65.92,-46.8
145.3,-69.37,-45.18
150.6,-71.97,-42.67
156,-70.45,-48.4
161.4,-69.81,-42.48
166.8,-79.61,-38.48
172.2,-63.31,-39.06
177.5,-49.62,-40.24
182.9,-50.22,-51.25
188.3,-64.37,-40.88
193.7,-77.06,-43.99
199.1,-74.18,-50.17
204.4,-83,-47.71
209.8,-81.06,-65.15
215.2,-78.47,-64.74
220.6,-75.91,-46.69
226,-79.43,-46.64
231.3,-79.9,-45.38
236.7,-81.78,-42.26
242.1,-87.18,-51.78
247.5,-75.75,-52.98
252.9,-74.11,-52.05
258.2,-75.22,-38.57
263.6,-74.16,-35.09
269,-72.04,-40.46
274.4,-71.21,-42.85
279.8,-77.46,-48.29
285.1,-85.22,-44.81
290.5,-76.04,-54.83
295.9,-61.38,-41.57
301.3,-59.2,-36.38
306.7,-71.04,-39.26
312,-74.77,-53.1
317.4,-76.47,-42.82
322.8,-78.12,-41.79
328.2,-81.58,-57.85
333.6,-84.7,-41.93
338.9,-82.09,-38.75
344.3,-83.83,-48.83
349.7,-82.37,-38.72
355.1,-83,-38.04
360.5,-84.84,-37.31
365.8,-82.12,-37.07
371.2,-78.59,-39.68
376.6,-82.22,-41.5
382,-84.45,-49.04
387.4,-81.05,-44.84
392.7,-82.64,-47.89
398.1,-85.71,-53.27
403.5,-88.72,-54.05
408.9,-93.53,-44.32
414.3,-68.44,-42.05
419.6,-61.77,-37.81
425,-66.83,-35.19
430.4,-83.95,-38.97
435.8,-84.64,-40.64
441.2,-86.54,-40.89
446.5,-87.72,-40.34
451.9,-88.54,-40.28
457.3,-86.95,-47.47
462.7,-86.59,-47.57
468.1,-84.41,-43.23
473.4,-94.22,-43.56
478.8,-81.04,-54.67
484.2,-82.66,-47.13
489.6,-87.3,-53.41
495,-90.27,-52.3
500.3,-92.2,-47.88
505.7,-93.79,-44.19
511.1,-91.06,-37.06
516.5,-94.5,-37.17
521.9,-88.8,-38.84
527.2,-86.38,-39.78
532.6,-74.95,-39.42
538,-64.11,-38.62
543.4,-65.48,-45.55
548.8,-80.77,-48.96
554.1,-89.93,-45.37
559.5,-92.53,-43.16
564.9,-93.58,-45.84
570.3,-92.25,-41.1
575.7,-89.57,-39.34
581,-87.42,-41.7
586.4,-98.18,-57.62
591.8,-94.29,-43.33
597.2,-87.67,-42.08
602.6,-86.49,-54.24
607.9,-88.09,-41.88
613.3,-90.32,-43.67
618.7,-88.56,-44.77
624.1,-93.37,-47.83
629.5,-96.99,-46.2
634.8,-94.05,-46.05
640.2,-95.46,-50.74
