Low_Freq,Power_ambient,Power_test
0,-86.83,-45.85
5.4,-61.48,-40.98
10.8,-52.29,-41.71
16.1,-52.06,-43.12
21.5,-58.16,-41.42
26.9,-61.16,-43.19
32.3,-54.36,-41.62
37.7,-56.91,-41.65
43,-64.81,-46.89
48.4,-63.59,-43.22
53.8,-55.12,-38.94
59.2,-46.38,-40.87
64.6,-48.19,-40.22
69.9,-53.46,-37.26
75.3,-62.43,-37.11
80.7,-66.79,-38.1
86.1,-41.58,-38.72
91.5,-37.84,-40.14
96.8,-46.39,-39.83
102.2,-70.4,-39.01
107.6,-69.3,-40.73
113,-69.36,-40.41
118.4,-59.99,-40.16
123.7,-62.74,-40.85
129.1,-80.53,-41.75
134.5,-71.23,-43.23
139.9,-70.69,-42.64
145.3,-59.99,-41
150.6,-60.29,-41.64
156,-74.47,-42.86
161.4,-82.57,-40.45
166.8,-84.61,-39.73
172.2,-70.98,-42.63
177.5,-58.63,-40.94
182.9,-59.47,-41.41
188.3,-74.84,-40.37
193.7,-89.78,-40.57
199.1,-93.98,-44.81
204.4,-93.39,-41.9
209.8,-93.11,-40.97
215.2,-95.35,-43.32
220.6,-86.5,-45.77
226,-87.14,-41.91
231.3,-85.14,-40.35
236.7,-76.64,-41.37
242.1,-76.07,-43.46
247.5,-87.39,-40.62
252.9,-90.63,-42.41
258.2,-92.14,-40.11
263.6,-92.45,-43.92
269,-91.86,-40.11
274.4,-84.43,-37.65
279.8,-81.25,-39.52
285.1,-83.57,-44.89
290.5,-85.58,-44.3
295.9,-80.33,-43.23
301.3,-80.66,-42.59
306.7,-89.69,-42.61
312,-92.59,-41.01
317.4,-95.8,-37.19
322.8,-97.66,-37.11
328.2,-95.76,-39.38
333.6,-97.28,-39.28
338.9,-97.12,-40.86
344.3,-98.83,-41.48
349.7,-103.21,-43.21
355.1,-94.64,-44.25
360.5,-90.47,-42.18
365.8,-95.85,-42.71
371.2,-103.85,-42.58
376.6,-103.2,-39.51
382,-102.13,-39.5
387.4,-103.18,-39.53
392.7,-104.93,-40.99
398.1,-102.49,-40.23
403.5,-101.6,-40.53
408.9,-102.34,-41.04
414.3,-79.2,-38.6
419.6,-73.18,-39.22
425,-79.24,-43.05
430.4,-102.34,-42.81
435.8,-104.26,-41.29
441.2,-105.41,-42.92
446.5,-105.77,-41.66
451.9,-106.77,-40.36
457.3,-107.12,-39.92
462.7,-105.75,-41.15
468.1,-105.64,-40.89
473.4,-102.5,-40.44
478.8,-99.23,-42.22
484.2,-100.92,-41.07
489.6,-104.93,-38.21
495,-107.02,-40.5
500.3,-107.99,-44.22
505.7,-109.07,-43.41
511.1,-107.28,-40.99
516.5,-109.98,-44.63
521.9,-108.83,-44.98
527.2,-103.43,-43.07
532.6,-90.87,-42.32
538,-80.5,-42.82
543.4,-83.15,-45.1
548.8,-103.18,-43.01
554.1,-106.93,-44.74
559.5,-106.72,-41.91
564.9,-105.67,-44.06
570.3,-108.34,-40.51
575.7,-110.16,-39.4
581,-106.13,-40.97
586.4,-104.7,-43.29
591.8,-108.22,-37.17
597.2,-109.03,-41.39
602.6,-107.86,-38.35
607.9,-108.46,-37.26
613.3,-106.73,-39.64
618.7,-104.86,-41.93
624.1,-105.89,-42.48
629.5,-106.94,-44.84
